,Min_leafs,Depth,Coef,Accuracy,Recall,Precision,F1,crit
56,30,3,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
57,30,5,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
58,30,7,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
59,30,10,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
60,30,,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
61,30,2,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
62,30,3,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
63,30,5,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
64,30,7,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
65,30,10,0.9,0.7391304347826086,0.5961538461538461,0.7380952380952381,0.6595744680851063,gini
66,30,,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
67,30,2,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
68,30,3,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
69,30,5,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
70,30,7,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
71,30,10,0.9,0.6277173913043478,0.5128205128205128,0.5673758865248227,0.5387205387205387,entropy
